FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,01-01-2022 04:22,33.93911,67.709953,158084,7356,,,Afghanistan,406.0897432,4.653222337
,,,Albania,01-01-2022 04:22,41.1533,20.1683,210224,3217,,,Albania,7305.024672,1.530272471
,,,Algeria,01-01-2022 04:22,28.0339,1.6596,218432,6276,,,Algeria,498.1227014,2.873205391
,,,Andorra,01-01-2022 04:22,42.5063,1.5218,23740,140,,,Andorra,30725.42548,0.589721988
,,,Angola,01-01-2022 04:22,-11.2027,17.8739,81593,1770,,,Angola,248.2575752,2.169303739
,,,Antigua and Barbuda,01-01-2022 04:22,17.0608,-61.7964,4283,119,,,Antigua and Barbuda,4373.621436,2.778426337
,,,Argentina,01-01-2022 04:22,-38.4161,-63.6167,5654408,117169,,,Argentina,12510.9211,2.072170951
,,,Armenia,01-01-2022 04:22,40.0691,45.0382,344930,7972,,,Armenia,11640.3227,2.311193576
,,Australian Capital Territory,Australia,01-01-2022 04:22,-35.4735,149.0124,4010,15,,,"Australian Capital Territory, Australia",1039.009577,0.374064838
,,New South Wales,Australia,01-01-2022 04:22,-33.8688,151.2093,187504,663,,,"New South Wales, Australia",2587.841833,0.353592457
,,Northern Territory,Australia,01-01-2022 04:22,-12.4634,130.8456,572,1,,,"Northern Territory, Australia",263.029316,0.174825175
,,Queensland,Australia,01-01-2022 04:22,-27.4698,153.0251,13863,7,,,"Queensland, Australia",315.2184537,0.050494121
,,South Australia,Australia,01-01-2022 04:22,-34.9285,138.6007,11078,6,,,"South Australia, Australia",750.2419584,0.054161401
,,Tasmania,Australia,01-01-2022 04:22,-42.8821,147.3272,785,13,,,"Tasmania, Australia",225.7703081,1.656050955
,,Victoria,Australia,01-01-2022 04:22,-37.8136,144.9631,183976,1534,,,"Victoria, Australia",2774.943815,0.833804409
,,Western Australia,Australia,01-01-2022 04:22,-31.9505,115.8605,1161,9,,,"Western Australia, Australia",44.134418,0.775193798
,,,Austria,01-01-2022 04:22,47.5162,14.5501,1278619,13733,,,Austria,14196.78229,1.074049424
,,,Azerbaijan,01-01-2022 04:22,40.1431,47.5769,616947,8358,,,Azerbaijan,6084.785005,1.354735496
,,,Bahamas,01-01-2022 04:22,25.025885,-78.035889,24476,717,,,Bahamas,6224.062169,2.929400229
,,,Bahrain,01-01-2022 04:22,26.0275,50.55,282062,1394,,,Bahrain,16576.44676,0.494217583
,,,Bangladesh,01-01-2022 04:22,23.685,90.3563,1585539,28072,,,Bangladesh,962.7451212,1.770502019
,,,Barbados,01-01-2022 04:22,13.1939,-59.5432,28565,260,,,Barbados,9940.112259,0.910204796
,,,Belarus,01-01-2022 04:22,53.7098,27.9534,699110,5578,,,Belarus,7398.521015,0.79787158
,,Antwerp,Belgium,01-01-2022 04:22,51.2195,4.4024,303202,0,,,"Antwerp, Belgium",16318.85278,0
,,Brussels,Belgium,01-01-2022 04:22,50.8503,4.3517,249566,0,,,"Brussels, Belgium",20650.17186,0
,,East Flanders,Belgium,01-01-2022 04:22,51.0362,3.7373,260967,0,,,"East Flanders, Belgium",17224.81691,0
